timestamp,machineID,risk_level,ttf_prediction
2026-04-20T16:40:13.661536,SIM-MACHINE-01,Low,106.80361938476562
2026-04-20T16:41:12.571903,SIM-MACHINE-01,Low,114.60304260253906
2026-04-20T16:42:19.234146,SIM-MACHINE-01,Low,119.7415771484375
2026-04-20T16:44:15.904982,SIM-MACHINE-01,Low,108.2394027709961
2026-04-20T16:47:29.791806,SIM-MACHINE-01,Low,102.09839630126953
2026-04-20T16:50:51.224112,SIM-MACHINE-01,Low,114.11433410644531
2026-04-20T16:52:05.537542,SIM-MACHINE-01,Low,114.11433410644531
2026-04-20T16:53:45.382159,SIM-MACHINE-01,Low,106.80361938476562
2026-04-20T16:59:52.503522,SIM-MACHINE-01,Low,112.68180847167969
2026-04-20T17:00:30.883417,SIM-MACHINE-01,Low,112.68180847167969
2026-04-20T17:00:59.665790,SIM-MACHINE-01,Low,107.90895080566406
2026-04-20T17:01:14.668279,SIM-MACHINE-01,Low,107.90895080566406
2026-04-20T17:04:01.706980,SIM-MACHINE-01,Low,98.17633056640625
2026-04-20T17:07:02.021927,SIM-MACHINE-01,Low,120.63721466064453
2026-04-20T17:09:11.357300,SIM-MACHINE-01,Low,76.16284942626953
2026-04-20T17:10:02.907400,SIM-MACHINE-01,Low,36.20344924926758
2026-04-20T17:10:39.607211,SIM-MACHINE-01,Low,36.20344924926758
2026-04-20T17:12:59.575169,SIM-MACHINE-01,Low,122.26597595214844
2026-04-20T17:13:14.304070,SIM-MACHINE-01,Low,122.26597595214844
2026-04-20T17:14:10.007434,SIM-MACHINE-01,Low,84.9105224609375
2026-04-20T17:23:25.678441,SIM-MACHINE-01,Low,84.9105224609375
2026-04-20T17:58:26.520312,SIM-MACHINE-01,High,88.1
2026-04-20T18:05:00.350643,SIM-MACHINE-01,High,88.1
2026-05-12T14:51:28.903442,SIM-MACHINE-01,Low,58.02
2026-05-12T14:51:40.475180,SIM-MACHINE-01,High,55.05
